userId	movieId	rating	review
170827209	3463	5.0	very   funny   and   it   has   sumthings   in   it   that   we   can   all   relate   too
170827209	17324	4.0	i   love   will   smith ,    and   he   is   hilarious   in   this .
170827209	15205	4.5	very   very   very   very   very   very   very   good .    amazing   effects
170827209	15107	5.0	really   gd ,    i   lyk   things   lyk   that .    i   didnt   think   the   2nd   1   was   as   gd   as   the   1st .
170827209	6287	3.5	really   funny   abd   gr8   actors
170827209	15063	4.0	very   very   very   very   funny
170827209	10928	3.0	i   have   mixed   views   on   this   one
784498412	2463	1.5	not   my   favorite
784498412	3860	3.5	jim   carry   is   hilarious .       any   movie   with   jim   carry    ( with   the   exception   of   23 )    is   guaranteed   to   be   funny
784498412	758	1.5	it   had   some   funny   parts   but   was   really   risque   too .       i   don ['] t   like   lindsay   lohen   a   lot   either
784498412	6235	5.0	love   it   love   it   love   it   love   it   love   it   love   it    ( shane   west   is   so   hot )
548006221	3962	2.0	cute   and   good   for   the   little   ones
548006221	2463	3.5	original   storyline .  .  . animation   was   great .  .  . my   nephew   loved   this   one !
548006221	1905	3.5	arrrrggghhhh ,    the   ending   made   me   mad .       go   get   capt   jack !  !  !  !
548006221	15063	0.5	predictable   and   seemed   pretty   lame   overall    -    come   on ,    no   one   thought   they   were   in   disguise   until   they   took   the   mask   off ?  ?  ?  !  ?  !  ?  !
548006221	12471	2.0	predictable ,    but   edgy
781040037	10583	3.0	parts   of   this   made   me   laugh .
781040037	2985	4.0	it   was   just   funny   to   me    &    i   saw   where   it   was   filmed .
781040037	15107	4.0	i   love   all   the   men   in   this   movie    &    julia   roberts .    entertaining .
781040037	1905	4.0	dude ,    johnny   depp   is   the   man .
781040037	4472	3.0	sappy ,    but   it   was   good   at   the   time   i   watched   it .
781040037	12471	2.5	eminem   was   a   decent   actor ,    some   of   the   lines   make   me   laugh    &    they ['] re   not   supposed   to   be   funny .    i   don ['] t   know .
781040037	6235	2.0	this   movie   was   sad .  .  . i   didn ['] t   watch   the   whole   thing .    kind   of   predictable .
519405200	4506	5.0	audrey   is   one   great   actress .    the   first   time   i   saw   this   movie   i   realized   that   i   had   fell   in   love   with   a   love   story !
519405200	16438	3.0	adam   is   hilarios .    i   like   drew   and   adams   movie   chemistry .
519405200	6329	4.0	this   movie   is   awsome
519405200	14574	5.0	this   movie   is   teh   best .    it   is   so   sweet !
519405200	1267	4.0	cute
519405200	1145	4.5	matthew   is   so   handsome   and   sweet .    j . lo   worked   her   butt   off   as   a   weddin   gplanner   in   this   movie .
519405200	295	5.0	jim   is   a   fool
519405200	15582	4.0	i   already   teh   song .    i   love   the   movie   too .    once   again   i   am   a   hopeless   romantic .
519405200	15233	5.0	funny !
519405200	10899	5.0	this   movie   is   cute   and   sweet .    i   want   me   a   wedding   date   as   cute   as   kats .    now   all   i   need   is   a   wedding !  !  !  !
519405200	17714	4.5	i   wanted   to   be   a   mermaid   asfter   i   first   watched   this   movie
